platform,title,published by,developed by,released,genre,perspective,visual,art,gameplay,interface,userReviews,userReviewCount,averageUserReview,criticReviews,criticReviewCount,averageCriticReview
Wii U,Project Zero 2: Wii Edition,Nintendo of Europe GmbH,"Koei Tecmo Games Co., Ltd.","Oct 20, 2016",Action,"1st-person, Behind view",,,"Puzzle elements, Survival horror",,,0,,,0,
Wii U,Project Zero: Maiden of Black Water (Limited Edition),Nintendo of Europe GmbH,,"Oct 30, 2015",Special edition,,,,,,,0,,,0,
Wii U,Psibo,"Nami Tentou Mushi, LLC",,"Oct 06, 2016",Action,Side view,Fixed / flip-screen,,"Arcade, Paddle / Pong",,,0,,,0,
Wii U,Psyscrolr,"Actos Games, LLC",,"Apr 02, 2015",Action,Side view,2D scrolling,,"Platform, Puzzle elements",,,0,,[40.0],1,40.0
Wii U,Puddle,Neko Entertainment SARL,Neko Entertainment SARL,"Jan 31, 2013","Action, Puzzle",Side view,2D scrolling,,,,,0,,"[80.0, 80.0, 76.0, 70.0, 70.0, 70.0, 68.0, 65.0, 40.0, 40.0]",10,65.9
Wii U,Pumped BMX +,Curve Digital Publishing Limited,Yeah Us! Limited,"Oct 01, 2015",Racing / Driving,Side view,2D scrolling,,Tricks / stunts,,,0,,[80.0],1,80.0
Wii U,Punch-Out!!,Nintendo of America Inc.,"Next Level Games, Inc.","Jan 22, 2015",Sports,Behind view,,,,,,0,,,0,
Wii U,Pure Chess,Ripstone Ltd.,VooFoo Studios Ltd.,"Mar 20, 2014",Strategy,"1st-person, Top-down",,,Chess,,,0,,"[85.0, 70.0, 60.0]",3,71.66666666666667
Wii U,Pushmo World,Nintendo of America Inc.,"Intelligent Systems Co., Ltd., Nintendo SPD","Jun 19, 2014",Puzzle,Diagonal-down,,,Platform,,,0,,"[83.0, 80.0, 80.0, 70.0]",4,78.25
Wii U,Puyo Puyo Tetris,SEGA Corporation,"O-Two, Inc., Sonic Team","Feb 06, 2014","Action, Puzzle",Side view,Fixed / flip-screen,,Falling block puzzle,,,0,,,0,
Wii U,Puzzle Monkeys,Log Games Ltd.,Log Games Ltd.,"Feb 05, 2015",Puzzle,1st-person,Fixed / flip-screen,,Tile matching puzzle,,,0,,"[60.0, 40.0]",2,50.0
Wii U,Quadcopter Pilot Challenge,TACS Games,TACS Games,"Jul 02, 2015",Simulation,Behind view,,,,,,0,,[70.0],1,70.0
Wii U,Quarth,"Konami Digital Entertainment Co., Ltd.",Konami Industry Co. Ltd.,"Apr 23, 2014","Action, Puzzle",Top-down,2D scrolling,,Arcade,,,0,,,0,
Wii U,Q.U.B.E.: Director's Cut,"Grip Digital, s.r.o.",Toxic Games,"Sep 10, 2015","Action, Puzzle",1st-person,,,,,,0,,[70.0],1,70.0
Wii U,Queen's Garden,Joindots GmbH,Seven Sails Comunicacao e Desenvolvimento Ltda.,"May 12, 2016",Puzzle,1st-person,Fixed / flip-screen,,Tile matching puzzle,,,0,,[60.0],1,60.0
Wii U,Quest of Dungeons,Upfall Studios,Upfall Studios,"Sep 29, 2016",Role-playing (RPG),Diagonal-down,,,Roguelike,,,0,,,0,
Wii U,The Quiet Collection,"Nostatic Software, LLC","Nostatic Software, LLC","Jul 23, 2015","Adventure, Compilation",Side view,,,"Graphic adventure, Puzzle elements",,,0,,"[80.0, 60.0]",2,70.0
Wii U,Rabbids Land,"Ubisoft, Inc.",Ubisoft Paris Studios SARL,"Nov 18, 2012",Action,3rd-person (Other),,,Board game,,,0,,"[72.0, 70.0, 70.0, 70.0, 58.0, 53.0, 50.0, 50.0, 40.0, 30.0]",10,56.3
Wii U,Race the Sun,Flippfly LLC,Flippfly LLC,"Oct 08, 2015",Racing / Driving,Behind view,,,,,,0,,"[80.0, 60.0]",2,70.0
Wii U,Radiantflux: Hyperfractal,TACS Games,TACS Games,"Dec 22, 2016",Action,Top-down,,,Shooter,,,0,,[50.0],1,50.0
Wii U,Rainbow Snake,RandomSpin-Games S.R.L.,"38,9_Degrees","May 03, 2018",Action,Top-down,Fixed / flip-screen,,Arcade,,,0,,,0,
Wii U,Rakoo & Friends,Moving Player SAS,"Moving Player SAS, Old Skull Games SAS","Oct 15, 2015",Action,Side view,2D scrolling,,Arcade,,,0,,"[60.0, 60.0]",2,60.0
Wii U,Rapala: Pro Bass Fishing,"Activision Publishing, Inc.",FUN Labs Romania S.R.L.,"Dec 04, 2012",Sports,"1st-person, 3rd-person (Other)",,,,,,0,,[30.0],1,30.0
Wii U,Rayman,Ubisoft Entertainment SA,Ubi Soft Paris Studios,"Apr 20, 2017",Action,Side view,2D scrolling,,Platform,,,0,,,0,
Wii U,Rayman 3,Ubisoft Entertainment SA,Gameloft Divertissements Inc.,"Apr 20, 2017",Action,"Behind view, Side view",2D scrolling,,"Platform, Puzzle elements",,,0,,,0,
Wii U,Rayman Legends,"Ubisoft, Inc.","Ubisoft Montpellier SAS, Ubisoft SARL","Sep 03, 2013",Action,Side view,2D scrolling,,Platform,,,0,,"[100.0, 100.0, 100.0, 96.0, 95.0, 92.0, 91.0, 90.0, 87.0, 80.0]",10,93.1
Wii U,Rayman: Raving Rabbids,"Ubisoft, Inc.",Ubisoft Pictures SAS,"Jul 06, 2017",Action,"1st-person, 3rd-person (Other)",,,,,,0,,,0,
Wii U,Red Riding Hood,Brave Rock Games,Brave Rock Games,"Oct 02, 2014",Adventure,,,,Interactive book,,,0,,[20.0],1,20.0
Wii U,Regina & Mac,Diplodocus Games,Diplodocus Games,"Jan 16, 2020",Adventure,Diagonal-down,,,"Platform, Puzzle elements",,,0,,[80.0],1,80.0
Wii U,Renegade,"Arc System Works Co., Ltd.",Technos Japan Corp.,"Feb 27, 2014",Action,Side view,2D scrolling,,Beat 'em up / brawler,,,0,,,0,
Wii U,Replay: VHS is Not Dead,Neko Entertainment SARL,Team Replay,"Feb 25, 2016",Action,Side view,,,"Platform, Puzzle elements",,,0,,[80.0],1,80.0
Wii U,Reptilian Rebellion,Herrero Games,Herrero Games,"Jul 14, 2016",Strategy,Diagonal-down,Fixed / flip-screen,,Tower defense,,,0,,[50.0],1,50.0
Wii U,Resident Evil 4,"Capcom U.S.A., Inc.",Capcom Production Studio 4,"Feb 04, 2016",Action,Behind view,,,"Puzzle elements, Quick Time Events (QTEs), Shooter, Survival horror",,,0,,,0,
Wii U,Resident Evil: Revelations,"Capcom U.S.A., Inc.","Capcom Co., Ltd., Tose Co., Ltd.","May 21, 2013",Action,Behind view,,,"Puzzle elements, Shooter, Survival horror",,,0,,"[90.0, 83.0, 80.0, 75.0, 75.0, 75.0, 70.0, 70.0, 70.0, 65.0]",10,75.3
Wii U,Resident Evil: The Umbrella Chronicles,"Capcom U.S.A., Inc.",Capcom Production Studio 4,"Nov 10, 2016",Action,1st-person,,,"Quick Time Events (QTEs), Rail shooter",,,0,,,0,
