platform,title,published by,developed by,released,genre,perspective,visual,art,gameplay,interface,userReviews,userReviewCount,averageUserReview,criticReviews,criticReviewCount,averageCriticReview
Gamecube,Catwoman,"Electronic Arts, Inc.","Argonaut Games PLC, Electronic Arts UK Ltd.","Jul 20, 2004",Action,3rd-person (Other),,,,,,0,,"[63.0, 58.0, 50.0, 50.0, 48.0, 46.0, 45.0, 43.0, 40.0, 0.0]",10,44.3
Gamecube,Cel Damage,"Electronic Arts, Inc.","Pseudo Interactive, Inc.","Jan 10, 2002","Action, Racing / Driving",Behind view,,,,,,0,,"[80.0, 74.0, 70.0, 68.0, 60.0, 57.0, 55.0, 50.0, 49.0, 30.0]",10,59.3
Gamecube,Chaos Field,O~3 Entertainment,MileStone Inc.,"Dec, 2005",Action,Top-down,,,"Arcade, Shooter",,,0,,"[73.0, 62.0, 60.0, 60.0, 60.0, 60.0, 45.0, 40.0, 0.0]",9,51.111111111111114
Gamecube,Charinko Hero,"Banpresto Co., Ltd.",tri-Ace Inc.,"Jul 17, 2003","Action, Racing / Driving",Behind view,,,,,,0,,,0,
Gamecube,Charlie and the Chocolate Factory,Global Star Software Inc.,"High Voltage Software, Inc.","Jul 15, 2005",Action,3rd-person (Other),,,Puzzle elements,,,0,,"[62.0, 60.0, 45.0, 45.0, 40.0, 40.0, 40.0, 40.0, 30.0, 30.0]",10,43.2
Gamecube,Charlie's Angels,"Ubisoft, Inc.",Neko Entertainment SARL,"Jul 09, 2003",Action,3rd-person (Other),,,"Beat 'em up / brawler, Platform",,,0,,"[42.0, 40.0, 35.0, 32.0, 30.0, 27.0, 20.0, 10.0, 5.0, 0.0]",10,24.1
Gamecube,Chibi-Robo!: Plug into Adventure!,Nintendo of America Inc.,"Skip, Ltd.","Feb 06, 2006","Action, Puzzle",Behind view,,,"Platform, Stealth",,[3.4],1,3.4,"[85.0, 84.0, 80.0, 78.0, 78.0, 70.0, 60.0, 50.0, 50.0, 42.0]",10,67.7
Gamecube,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","Buena Vista Games, Inc.",Traveller's Tales (UK) Ltd.,"Nov 14, 2005",Action,3rd-person (Other),,,,,,0,,"[83.0, 78.0, 70.0, 70.0, 69.0, 65.0, 60.0, 58.0, 55.0]",9,67.55555555555556
Gamecube,City Racer,Ubi Soft Entertainment Software,Ubi Soft SRL,2003,"Action, Racing / Driving",Behind view,,,,,,0,,[60.0],1,60.0
Gamecube,Cocoto: Funfair,Neko Entertainment SARL,Neko Entertainment SARL,2006,Action,1st-person,,,"Arcade, Mini-games, Shooter",,,0,,[45.0],1,45.0
