platform,title,published by,developed by,released,genre,perspective,visual,art,gameplay,interface,userReviews,userReviewCount,averageUserReview,criticReviews,criticReviewCount,averageCriticReview
Nintendo DS,Foster's Home for Imaginary Friends: Imagination Invaders,"Midway Home Entertainment, Inc.",Sensory Sweep Studios,"Nov 11, 2007",Action,"3rd-person (Other), Top-down",,,Puzzle elements,,,0,,"[40.0, 35.0]",2,37.5
Nintendo DS,Foto Frenzy: Spot the Difference,Storm City Games,Sanuk Games SARL,"Nov 24, 2009",Puzzle,,Fixed / flip-screen,,Hidden object,,,0,,,0,
Nintendo DS,Franklin's Great Adventures,"American Game Factory, Inc., The",Otaboo,"Dec 06, 2006",Educational,"Diagonal-down, Side view",2D scrolling,,Puzzle elements,,,0,,[70.0],1,70.0
Nintendo DS,Freddi Fish: ABC Under the Sea,"Atari Interactive, Inc., Humongous Entertainment, Inc.","1st Playable Productions, LLC","Oct 05, 2010",Educational,"3rd-person (Other), Side view",,,,,,0,,,0,
Nintendo DS,Freddy Flintoff's Powerplay Cricket,Tradewest Games Ltd.,Fuzzy-Frog Games,"Aug 13, 2010",Sports,3rd-person (Other),,,,,,0,,,0,
Nintendo DS,Freedom Wings,"Natsume, Inc.","Beluga Computer, Natsume Co., Ltd.","Aug, 2006","Action, Simulation",3rd-person (Other),,,Shooter,,,0,,"[63.0, 55.0, 47.0, 45.0, 33.0, 30.0]",6,45.5
Nintendo DS,Freshly-Picked Tingle's Rosy Rupeeland,"Nintendo Co., Ltd.",VANPOOL Inc.,"Sep 02, 2006","Action, Adventure",Diagonal-down,,,Puzzle elements,,,0,,"[80.0, 79.0, 70.0, 65.0, 60.0, 60.0, 60.0, 50.0, 50.0, 40.0]",10,61.4
Nintendo DS,Fritz Chess,Koch Media GmbH (Austria),Shanblue Interactive SL,"Jun 30, 2009",Strategy,,,,"Board game, Chess, Turn-based strategy",,,0,,,0,
Nintendo DS,Frogger: Helmet Chaos,"Konami Digital Entertainment, Inc.","Konami Computer Entertainment Hawaii, Inc.","Sep 27, 2005",Action,Top-down,,,"Platform, Puzzle elements",,,0,,"[90.0, 90.0, 72.0, 70.0, 68.0, 68.0, 65.0, 64.0, 62.0, 60.0]",10,70.9
Nintendo DS,From the Abyss,"Aksys Games Localization, Inc.","Sonic Powered Co., Ltd.","Aug 28, 2008",Role-playing (RPG),Diagonal-down,,Anime / Manga,Action RPG,,,0,,"[75.0, 73.0, 70.0, 70.0, 69.0, 50.0, 50.0, 50.0, 40.0, 30.0]",10,57.7
Nintendo DS,Front Mission,"Square Enix, Inc.","Tose Co., Ltd.","Oct 23, 2007",Strategy,Top-down,,Anime / Manga,,,[3.83],1,3.83,"[86.0, 80.0, 80.0, 75.0, 72.0, 70.0, 70.0, 70.0, 70.0, 70.0]",10,74.3
Nintendo DS,Fullmetal Alchemist: Dual Sympathy,Destineer,"Natsume Co., Ltd.","Dec 12, 2006",Action,Side view,2D scrolling,Anime / Manga,Beat 'em up / brawler,,,0,,"[84.0, 70.0, 70.0, 60.0, 55.0, 50.0, 50.0, 50.0, 48.0, 40.0]",10,57.7
Nintendo DS,Fullmetal Alchemist: Trading Card Game,Destineer,"Magellan Interactive, Inc.","Oct 16, 2007",Strategy,,,,Trading / collectible card,,,0,,,0,
Nintendo DS,FutureU: The Prep Game for SAT,"Aspyr Media, Inc.","Aspyr Media, Inc.","Nov 10, 2008",Educational,,,,,,,0,,,0,
Nintendo DS,Galactic Taz Ball,Warner Bros. Interactive Entertainment Inc.,"WayForward Technologies, Inc.","Aug 11, 2010",Action,3rd-person (Other),,,"Arcade, Platform",,,0,,"[70.0, 65.0, 60.0, 60.0]",4,63.75
Nintendo DS,Galaxy Racers,"Ubisoft, Inc.",Kunst-Stoff GmbH,"Jul, 2010","Action, Educational, Puzzle","Behind view, Diagonal-down",Isometric,,,,,0,,,0,
Nintendo DS,Galileo,D3Publisher Inc.,Tomcat System,"Oct 23, 2008",Adventure,"1st-person, 3rd-person (Other)",,Anime / Manga,Puzzle elements,,,0,,,0,
Nintendo DS,Game Center CX: Arino no Chousenjou 2,Namco Bandai Games Inc.,"indieszero Co., Ltd.","Feb 26, 2009",Compilation,,,,,,,0,,,0,
Nintendo DS,Game Hits!: 4 Games in 1,Destineer,Most Wanted Entertainment Kft.,"May 04, 2010","Action, Puzzle",,,,"Falling block puzzle, Shooter",,,0,,,0,
Nintendo DS,Games Around the World,"Zoo Publishing, Inc.","JV Games, Inc.","Oct 26, 2010",Action,,,,Mini-games,,,0,,,0,
Nintendo DS,Game & Watch Collection,Nintendo of America Inc.,"Nintendo Co., Ltd.","Dec 15, 2008","Action, Compilation",Side view,Fixed / flip-screen,,Arcade,,[3.8],1,3.8,[60.0],1,60.0
Nintendo DS,Game & Watch Collection 2,Nintendo of America Inc.,"Nintendo Co., Ltd.",2010,"Action, Compilation",Side view,Fixed / flip-screen,,Arcade,,,0,,[60.0],1,60.0
Nintendo DS,Ganbare Goemon: Tōkai Dōchū Ooedo Tengurigaeshi no Maki,"Konami Co., Ltd.","Konami Computer Entertainment Osaka Co., Ltd.","Jun 23, 2005",Action,"3rd-person (Other), Side view",Isometric,Anime / Manga,"Platform, Puzzle elements",,,0,,"[75.0, 66.0]",2,70.5
Nintendo DS,Gardening Mama,Majesco Entertainment Company,Cooking Mama Limited,"Mar 31, 2009",Simulation,,Fixed / flip-screen,,,,,0,,"[70.0, 60.0]",2,65.0
Nintendo DS,Garfield: A Tail of Two Kitties,"American Game Factory, Inc., The",Two Tribes Publishing B.V.,"Oct 05, 2006",Action,"1st-person, 3rd-person (Other), Side view",,,Platform,,,0,,"[76.0, 75.0, 70.0, 67.0, 60.0, 57.0, 50.0, 50.0, 45.0, 42.0]",10,59.2
Nintendo DS,Garfield Gets Real,"Zoo Publishing, Inc.",Gravity-i Ltd,"Jul 21, 2009",Action,"Behind view, Side view",2D scrolling,,"Music / rhythm, Platform",,,0,,,0,
Nintendo DS,Garfield's Fun Fest,"Destination Software, Inc.","Black Lantern Studios, Inc.","Jul, 2008",Action,"3rd-person (Other), Side view",,,,,,0,,"[72.0, 45.0, 40.0, 40.0, 38.0]",5,47.0
Nintendo DS,Garfield's Nightmare,"American Game Factory, Inc., The",Shin'en Multimedia GmbH,"Aug 28, 2007",Action,Side view,2D scrolling,,Platform,,,0,,[73.0],1,73.0
Nintendo DS,General Knowledge For Dummies,Anuman Interactive SA,Little Worlds Studio SARL,2010,"Educational, Puzzle",,Fixed / flip-screen,,,,,0,,,0,
Nintendo DS,Generator Rex: Agent of Providence,"Activision Publishing, Inc.",Virtuos Ltd.,"Oct 25, 2011",Action,Side view,2D scrolling,,Beat 'em up / brawler,,,0,,,0,
Nintendo DS,Geometry Wars: Galaxies,"Sierra Entertainment, Inc.",Kuju Surrey,"Nov 27, 2007",Action,Top-down,,,Shooter,,,0,,"[90.0, 84.0, 80.0, 80.0, 70.0, 70.0, 70.0, 70.0, 65.0, 33.0]",10,71.2
Nintendo DS,George of the Jungle and the Search for the Secret,"Crave Entertainment, Inc.","7 Studios, Inc.","Apr 01, 2008",Action,Side view,2D scrolling,,Platform,,,0,,[58.0],1,58.0
Nintendo DS,Germany's Next Topmodel,dtp young entertainment GmbH & Co. KG,Independent Arts Software GmbH,"Mar 28, 2008",Action,3rd-person (Other),,,Puzzle elements,,,0,,,0,
Nintendo DS,Germany's Next Topmodel: Das offizielle Spiel zur Staffel 2009,SevenOne Intermedia GmbH,Coreplay GmbH,2009,Simulation,3rd-person (Other),,,,,,0,,,0,
Nintendo DS,G.G Series Collection+,Genterprise Inc.,SUZAK Inc.,"May 27, 2010",Compilation,,,,,,,0,,[60.0],1,60.0
Nintendo DS,Ghostbusters: The Video Game,"Atari, Inc.",Zen Stúdió Kft,"Jun 16, 2009","Action, Strategy",Top-down,,,Shooter,,,0,,"[74.0, 70.0, 68.0, 60.0, 60.0, 50.0, 50.0, 50.0, 50.0, 40.0]",10,57.2
Nintendo DS,Ghost Trick: Phantom Detective,"Capcom Entertainment, Inc.","Capcom Co., Ltd.","Jan 11, 2011",Adventure,Side view,,,Puzzle elements,,,0,,"[100.0, 100.0, 90.0, 90.0, 89.0, 85.0, 80.0, 80.0, 80.0, 70.0]",10,86.4
