platform,title,published by,developed by,released,genre,perspective,visual,art,gameplay,interface,userReviews,userReviewCount,averageUserReview,criticReviews,criticReviewCount,averageCriticReview
Switch,Metroid Dread,Nintendo of America Inc.,"Mercury Steam Entertainment S.L., Nintendo EPD","Oct 08, 2021",Action,Side view,2D scrolling,,"Metroidvania, Platform, Shooter",,[4.86],1,4.86,"[100.0, 95.0, 90.0, 90.0, 90.0, 90.0, 89.0, 85.0, 82.0, 80.0]",10,89.1
Switch,Metroid Dread (Special Edition),Nintendo of America Inc.,,"Oct 08, 2021",Special edition,,,,,,,0,,,0,
Switch,Metro: Last Light - Redux,Koch Media GmbH (Austria),4A Games Limited,"Feb 28, 2020","Action, Compilation",1st-person,,,Shooter,,,0,,,0,
Switch,Metropolis: Lux Obscura,Sometimes You,Ktulhu Solutions,"Apr 04, 2018",Adventure,Side view,,,Tile matching puzzle,,,0,,"[55.0, 40.0]",2,47.5
Switch,Metro: Redux,Koch Media GmbH (Austria),,"Feb 28, 2020",Compilation,,,,,,,0,,"[90.0, 80.0, 71.0]",3,80.33333333333333
Switch,Metro: Redux (Ranger Cache Pre-Order Pack),Koch Media GmbH (Austria),,"Feb 28, 2020",Special edition,,,,,,,0,,,0,
Switch,Metro Simulator,UIG Entertainment GmbH,KishMish Games,"Jul 08, 2021",Simulation,1st-person,,,,,,0,,,0,
Switch,Mexican Train Dominoes Gold,Glowing Eye Games Ltd.,Glowing Eye Games Ltd.,"Mar 03, 2021",Strategy,Top-down,Fixed / flip-screen,,Board game,,,0,,,0,
Switch,Mia's Picnic,Nellyvision Ltd,Nellyvision Ltd,"Dec 28, 2020",Puzzle,Side view,2D scrolling,,,,,0,,,0,
Switch,Micetopia,Ratalaika Games S.L.,Ninja Rabbit Studio,"Nov 20, 2020",Action,Side view,2D scrolling,,"Metroidvania, Platform",,,0,,,0,
Switch,Mickey Storm and the Cursed Mask,Orange One,Triangle Studios B.V.,"Aug 24, 2021",Racing / Driving,Side view,,,"Platform, Puzzle elements",,,0,,,0,
Switch,Micro Pico Racers,Forsaken Games,2KSomnis,"Sep 24, 2020",Racing / Driving,"Behind view, Top-down",,,Arcade,,,0,,[40.0],1,40.0
Switch,Miden Tower,Kemco,EXE-CREATE Ltd.,"Jun 25, 2020",Role-playing (RPG),Diagonal-down,2D scrolling,Anime / Manga,Japanese-style RPG (JRPG),,,0,,,0,
Switch,Miden Tower: Damage x2,Kemco,,"Jun 25, 2020",DLC / Add-on,,,,,,,0,,,0,
Switch,Miden Tower: Experience & SP x2,Kemco,,"Jun 25, 2020",DLC / Add-on,,,,,,,0,,,0,
Switch,Miden Tower: Experience x3,Kemco,,"Jun 25, 2020",DLC / Add-on,,,,,,,0,,,0,
Switch,Miden Tower: No Skill Cost,Kemco,,"Jun 25, 2020",DLC / Add-on,,,,,,,0,,,0,
Switch,Miden Tower: SP x3,Kemco,,"Jun 25, 2020",DLC / Add-on,,,,,,,0,,,0,
Switch,Midnight Deluxe,Ratalaika Games S.L.,Petite Games,"Mar 08, 2018",Action,Side view,2D scrolling,,"Arcade, Platform",,,0,,"[50.0, 25.0]",2,37.5
Switch,Midnight Evil,Draw Distance S.A.,"Impulse Game Studios, LLC","Oct 10, 2019",Action,1st-person,,,Puzzle elements,,,0,,,0,
Switch,Midnight Fight Express,"Humble Bundle, Inc.",,"Sep 20, 2022",Action,Diagonal-down,2D scrolling,,"Beat 'em up / brawler, Shooter",,,0,,,0,
Switch,The Midnight Sanctuary,Unties,CAVYHOUSE,"Oct 04, 2018",Adventure,1st-person,Cinematic camera,Anime / Manga,Visual novel,,,0,,,0,
Switch,Mighty Aphid,ChiliDog Interactive LLC,Cascadia Games LLC,"Jun 28, 2021",Action,Side view,2D scrolling,,Shooter,,,0,,,0,
Switch,Mighty Bombjack,Koei Tecmo America Corp.,"Tecmo, Ltd.","Nov 14, 2018",Action,Side view,2D scrolling,Anime / Manga,"Arcade, Platform",,,0,,,0,
Switch,Mighty Fight Federation,"Forthright Entertainment, LLC",Komi Games Inc.,"Mar 10, 2021",Action,3rd-person (Other),,,Fighting,,,0,,,0,
Switch,Mighty Goose,Playism,"Blastmode, MP2 Games","Jun 05, 2021",Action,Side view,2D scrolling,,"Platform, Shooter",,,0,,"[85.0, 70.0]",2,77.5
Switch,Mighty Gunvolt: Burst,"Inti Creates Co., Ltd.","Inti Creates Co., Ltd.","Jun 15, 2017",Action,Side view,2D scrolling,,Metroidvania,,,0,,"[80.0, 75.0, 75.0, 72.0]",4,75.5
Switch,Mighty Switch Force! Collection,"WayForward Technologies, Inc.","WayForward Technologies, Inc.","Jul 25, 2019","Action, Compilation, Special edition",Side view,2D scrolling,,"Arcade, Platform, Puzzle elements, Shooter",,,0,,"[85.0, 78.0]",2,81.5
Switch,Miitopia,Nintendo of America Inc.,Nintendo EPD,"May 21, 2021",Role-playing (RPG),,,,"Japanese-style RPG (JRPG), Life / social simulation",,,0,,"[75.0, 70.0, 70.0, 64.0, 60.0]",5,67.8
Switch,Mike Dies,Psydra Games LLC,Psydra Games LLC,"Feb 25, 2021",Action,Side view,2D scrolling,,Platform,,,0,,,0,
Switch,Mike Tyson's Punch-Out!!,Nintendo of America Inc.,Nintendo R&D3,"Apr 10, 2019",Sports,Diagonal-down,Fixed / flip-screen,,,,,0,,,0,
Switch,Milanoir,Good Shepherd Entertainment,Italo Games,"May 31, 2018",Action,Side view,2D scrolling,,Shooter,,,0,,"[70.0, 70.0, 60.0, 50.0, 29.0]",5,55.8
Switch,Miles & Kilo,Four Horses Ltd.,,"Jul 05, 2018",Action,Side view,2D scrolling,,Platform,,,0,,[60.0],1,60.0
Switch,MilkChoco,GameParadiso,GameParadiso,"Oct 17, 2019",Action,"1st-person, Behind view",,,Shooter,,,0,,,0,
Switch,Milkmaid of the Milky Way,Machineboy AS,Machineboy AS,"Aug 22, 2019",Adventure,3rd-person (Other),Cinematic camera,,"Graphic adventure, Puzzle elements",,,0,,,0,
Switch,Milky Way Prince: The Vampire Star,Fantastico Studio srl,,"Jun 21, 2022",Adventure,1st-person,,,Visual novel,,,0,,,0,
Switch,Millie,Forever Entertainment S. A.,Forever Entertainment S. A.,"Feb 15, 2018",Action,Diagonal-down,2D scrolling,,Puzzle elements,,,0,,"[60.0, 50.0]",2,55.0
Switch,Millie & Molly,Thalamus Digital Publishing Ltd.,Below The Tower Ltd.,"Feb 04, 2022",Action,Side view,2D scrolling,,"Platform, Puzzle elements",,,0,,,0,
Switch,Milli & Greg,QUByte Interactive Ltda.,2ndboss Game Studio,"Oct 28, 2021",Action,Side view,2D scrolling,,"Arcade, Platform",,,0,,,0,
Switch,Milo's Quest,Ratalaika Games S.L.,lightUP,"Jan 31, 2020",Action,Top-down,2D scrolling,,Puzzle elements,,,0,,,0,
Switch,Mimic Hunter,Angry Cat Ltd.,Angry Cat Ltd.,"Feb 08, 2019","Action, Puzzle",Side view,2D scrolling,,Platform,,,0,,,0,
Switch,Mimpi Dreams,Dreadlocks Ltd,Silicon Jelly s.r.o.,"Nov 15, 2018","Action, Adventure",Side view,,,"Platform, Puzzle elements",,,0,,[80.0],1,80.0
